ds,dep_var,trend,season,weekday,holiday,boolean_value_3,boolean_value_5,boolean_value_6,boolean_value_7,boolean_value_8,boolean_value_10,boolean_value_12,boolean_value_13,boolean_value_14,boolean_value_16,boolean_value_18,boolean_value_19,boolean_value_20,boolean_value_21,boolean_value_22,boolean_value_23,covid.19.Infected.person_1,weather_Average.temperature..._1,weather_Total.precipitation.mm._1,weather_Daylight.hours..hours._1,Complementary.goods_1,Complementary.goods_2,Complementary.goods_3,Influencer_Post,price_16,Event,macroeconomic_indicators_1,macroeconomic_indicators_4,macroeconomic_indicators_13,macroeconomic_indicators_14,consecutive_holidays_1,consecutive_holidays_2,consecutive_holidays_3,consecutive_holidays_4,consecutive_holidays_5,consecutive_holidays_6,consecutive_holidays_7,consecutive_holidays_8,consecutive_holidays_9,consecutive_holidays_10,consecutive_holidays_11,consecutive_holidays_12,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_u25_S,FB_28_similar_S,FB_30_broad_S,FB_30_similar_S,FB_30_retarg_S,FB_40_broad_S,FB_40_similar_S,FB_40_retarg_S,FB_50_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,intercept,depVarHat,solID
2020/5/16,4,3.416119631,-0.299163962,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002025384,2.341053307,1.398439202,0,-0.241286028,0.263100525,1.491195429,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.730268161,0,0,0,0,0,0,0,0,0,0.442267169,0.934419424,0,0,0,0,9.79E-06,0,0,0,9.113273298,2_699_2
2020/5/17,4,3.423203447,-0.361020788,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000723351,2.733337916,0,2.271780386,-0.308103697,0.234657225,1.748298089,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.912419124,0,0,0,0,0,0,0,0,0,0.331233865,1.055528534,0,0,0,0,0.000391064,0,0,0,15.45567841,2_699_2
2020/5/18,1,3.430287263,-0.430432966,-0.749752181,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001446703,2.429633703,0.1165366,0,-0.270982769,0.2275464,1.02841064,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.866846626,0,0,0,0,0,0,0,0,0,0.241435994,1.055015634,0,0,0,0,0.000290423,0,0,0,3.199078001,2_699_2
2020/5/19,2,3.437371079,-0.508075322,-2.015560203,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000723351,2.23981857,3.175622355,0,-0.196740915,0.2275464,1.131251704,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.723829779,0,0,0,0,0,0,0,0,0,0.171619194,1.070518176,0,0,0,0,0.000205755,0,0,0,4.710925853,2_699_2
2020/5/20,7,3.444454896,-0.594611919,-2.157936724,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000723351,1.60710146,0.1748049,0,-0.211589286,0.1706598,1.079831172,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.604769396,0,0,0,0,0,0,0,0,0,0.119187309,1.137445753,0,0,0,0,0.0001326,0,0,0,0.627768638,2_699_2
2020/5/21,2,3.451538712,-0.690671083,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001591373,1.60710146,0.02913415,0,-0.241286028,0.21332475,1.799718621,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.371421681,0,0,0,0,0,0,0,0,0,0.081005765,1.169432145,0,0,0,0,7.47E-05,0,0,0,-0.155567265,2_699_2
2020/5/22,2,3.458622528,-0.796817598,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000289341,1.936114357,0.0582683,0,-0.211589286,0.135105675,1.131251704,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.354881121,0,0,0,0,0,0,0,0,0,0.053958251,1.240617767,0,0,0,0,3.57E-05,0,0,0,-0.804930984,2_699_2
2020/5/23,5,3.465706344,-0.913523003,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.000434011,2.328398965,0,0.543673938,-0.263558584,0.2275464,1.285513301,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.354323867,0,0,0,0,0,0,0,0,0,0.035269879,1.305507187,0,0,0,0,0.000585019,0,0,0,7.004702586,2_699_2
2020/5/24,5,3.47279016,-1.041135082,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002025384,2.632103178,0,2.135861901,-0.35264881,0.32709795,1.131251704,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.315565376,0,0,0,0,0,0,0,0,0,0.022647618,1.356826012,0,0,0,0,0.002348604,0,0.049862785,0,13.46782667,2_699_2
2020/5/25,5,3.479873976,-1.179847716,-0.749752181,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001157362,2.733337916,0,1.281517141,-0.374921366,0.2559897,1.439774897,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.289053166,0,0,0,0,0,0,0,0,0,0.014299196,1.404183297,0,0,0,0,0.005772606,0,0.007286171,0,3.860520094,2_699_2
